انداخته	dropped
بلوط	balut
بلوط	oak
دستورات	orders
تقارن	symmetry
رونمایی	unveiled
اسراییل	israel
اسراییل	israeli
اشباع	saturation
اشباع	saturated
کوئین	quinn
پلاتین	platinum
پشتیبان	support
پشتیبان	backup
اسکندریه	alexandria
مرکوری	mercury
پخت	cooking
پخت	bake
موری	maury
موری	murray
تضعیف	undermining
تضعیف	attenuation
تضعیف	weakening
خزانه	treasury
شهروندی	citizenship
شهروندی	citizen
فین	finn
زانو	knee
زانو	knees
آرنا	arena
فلش	flash
ناتمام	unfinished
ناتمام	incomplete
ورنر	werner
تنبیه	punished
تنبیه	punishment
اشتباهات	mistakes
ویدئوی	video
مناره	minaret
تقلب	cheat
تقلب	cheating
تقلب	fraud
نشینی	retreat
موزامبیک	mozambique
ایرویز	airways
مغان	magi
حقایق	facts
رواندا	rwanda
مونترآل	montréal
تامسون	thompson
تامسون	thomson
انتقادات	criticisms
مانکن	supermodel
مانکن	mannequin
پاور	power
پاور	powered
جنجال	popping
جنجال	controversy
تبت	tibetan
تبت	tibet
پوش	sheath
میتسوبیشی	mitsubishi
نورد	carriage
نورد	nord
اهلی	domesticated
اهلی	ahli
اهلی	domestic
تیرداد	tiridates
شازند	shazand
خاکستر	ash
اساطیری	avatars
میانجی	mediator
میانجی	mediation
میانجی	intermediate
میانجی	mediators
استریت	street
تکاملی	evolutionary
گوجه	tomato
زرهی	panzer
زرهی	armored
قندهار	kandahar
خروس	cock
خروس	rooster
کاریکاتور	caricature
توت	tut
اطاعت	obey
سلیمانی	soleimani
سلیمانی	slimani
نمادین	symbolic
آگهی	ad
آگهی	advertisement
آگهی	advertising
واکسن	vaccines
واکسن	vaccine
منفرد	manfred
نیجر	niger
تامی	tommy
وارن	warren
سیلندر	cylinder
رستاخیز	doomsday
رستاخیز	resurrection
حشره	insect
بیوگرافی	biographies
بیوگرافی	biography
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	algebraic
شورشی	insurgent
شورشی	rebel
شورشی	rebels
شکوفایی	bloom
منطبق	identical
}/	}/
عهدنامه	treaty
اقتصاددان	economist
کنش	action
کنش	actions
پاهای	feet
آرون	aaron
تنظیمات	adjustments
تنظیمات	preferences
تنظیمات	settings
آمیخته	mixture
آمیخته	mixtures
گیلانی	gilani
لیسبون	lisbon
دانیال	daniel
خوانی	recital
حماس	hamas
دوز	dosage
دوز	dose
شمیرانات	shemiranat
فرانکو	franco
تحقیقی	scholarship
فمینیسم	feminism
حلب	aleppo
سکولار	secular
زراعی	agrarian
تأخیر	delay
تأخیر	postpone
آشوب	commotion
آشوب	chaos
متکی	relied
پارکر	parker
بالقوه	potential
بالقوه	potentially
نخاعی	spinal
ادموند	edmund
غلامعلی	gholam
زینتی	decorative
زینتی	ornamental
زینتی	ornament
سقط	miscarriage
سقط	abortion
تاتنهام	tottenham
دیزل	diesel
محفل	coven
محفل	gatherings
محفل	assembly
ناسیونال	nationale
ناسیونال	nacional
تماشای	watching
دوبلین	dublin
الکترونی	electron
یاهو	yahoo
درآمدی	income
قطره	drop
قطره	drops
باطل	vanities
باطل	falsehood
باطل	false
باطل	void
باطل	vanity
بافق	bafq
نیرومند	powerful
خداحافظی	goodbye
آنالوگ	analog
جونگ	jong
جونگ	joong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	impact
عاطفی	emotional
دوندگان	racers
دوندگان	runners
اسکن	scan
مایعات	liquids
مایعات	fluids
وات	watt
عدسی	lens
الجزیره	algiers
مخفیانه	secretly
کریستیان	christian
کریستیان	cristian
امارت	emirate
صدیق	siddique
صدیق	siddiq
مستطیل	rectangle
پورشه	porsche
سوگند	oath
کرنل	cornell
کرنل	cornel
آشتیانی	ashtiani
کاج	pinus
کاج	kaj
کاج	pine
بایت	byte
بایت	bytes
تسلیحات	warheads
باروک	baroque
تبخیر	rotary
تبخیر	evaporation
انقلابیون	revolutionaries
کاتالونیا	catalunya
کاتالونیا	catalonia
برفی	snow
برفی	snowy
مهربان	kind
مهربان	merciful
سوالات	questions
محافل	covens
رنگین	dyed
راکی	rocky
نوسازی	renewal
نوسازی	renovation
نوسازی	rehabilitation
ریموند	raymond
شوک	shock
میخی	gibberish
میخی	cuneiform
ابتکار	improv
ابتکار	initiative
ابتکار	improvisation
نمادی	symbolic
ورد	spell
ورد	verde
زدایی	deregulation
امیلی	emily
بور	bur
بور	bor
بور	bohr
بور	burr
بور	boron
اسپورت	sport
اسپورت	sports
آرت	art
املش	amlash
موانع	barriers
موانع	setbacks
موانع	obstacles
احادیث	readings
}}}}}}}}	}}}}}}}}
تاخیر	delay
کولی	gypsy
کولی	kuli
ناتوانی	inability
ناتوانی	disability
تاکسی	taxi
تاکسی	cab
کلیوی	renal
زشت	ugly
فرید	farid
ماهر	skilled
ماهر	maher
پایانه	terminal
توس	birch
مصادف	coincide
عجایب	wonders
تعدیل	adjustment
زراعت	crops
زراعت	farming
واجب	mandatory
واجب	necessary
راستش	actually
بدتر	worse
لوی	levi
لوی	loy
لوی	levy
سبزیجات	vegetable
سبزیجات	vegetables
کارخانجات	factories
شگفت	marvellous
مازیار	maz
داس	scythe
داس	sickle
داس	das
هموار	smooth
قرائت	recitation
قرائت	reading
نیا	nia
آناتومی	anatomy
سوق	herding
سوق	drive
هیلز	hills
انتصاب	appointing
وفاداری	fidelity
وفاداری	loyalty
بارانی	shower
بارانی	rainy
بارانی	rain
بارانی	raincoat
بیچ	beech
بیچ	beach
بیستون	biston
کیفری	criminal
آرزو	wish
آرزو	wishing
تصمیمات	decisions
////////	////////
دانشگاهیان	academics
دانشگاهیان	academia
ضرر	losses
جنون	dementia
جنون	madness
جنون	insanity
متقاعد	convinced
متقاعد	convince
متقاعد	convincing
تایلر	tyler
عزت	honour
عزت	honor
عزت	glory
تمبر	stamp
تمبر	stamps
بلگراد	belgrade
معاملات	deals
معاملات	transactions
یاقوت	sapphires
یاقوت	rubies
یاقوت	ruby
نوزده	nineteen
پرسی	percy
دستکاری	manipulating
دستکاری	manipulation
معجزه	miracles
معجزه	miracle
باهم	together
صالحی	salehi
خوردگی	corrosion
لوکوموتیو	locomotive
بدهی	debts
بدهی	liabilities
بدهی	debt
بدهی	debit
یدالله	yadollah
بهشهر	behshahr
کلیساها	churches
پرستوی	swallow
چادر	tents
چادر	camping
چادر	tent
عمو	uncle
نوسان	oscillating
نوسان	oscillation
نوسان	swing
سرنشین	passenger
سرنشین	crew
زنجیر	chain
ریوی	pulmonary
اسپانیای	spain
ایزوتوپ	isotopes
ایزوتوپ	isotope
ین	yên
ین	yen
دلالت	implies
دلالت	signifying
دلالت	signifies
دلالت	signified
دلالت	implication
نیزه	spear
پارالمپیک	paralympics
مشهود	evident
مشهود	witnessed
اسپنسر	spencer
طوطی	parrots
طوطی	parrot
آپالاشیا	appalachia
لاتزیو	lazio
بلژیکی	belgian
اسکاندیناوی	scandinavia
اسکاندیناوی	scandinavian
بارو	barrow
کمینه	minimum
کمینه	minimal
کاراته	karate
دستگاهی	device
کوپه	compartment
کوپه	coupé
کوپه	coupe
منازل	mansions
سرما	cold
آموزگار	teacher
شجاعت	courage
توران	turan
برهم	surge
پرستار	nurse
مشکی	black
بنگال	bengal
الحاق	addendum
الحاق	accession
الحاق	append
توریستی	tourist
ایان	ian
استیضاح	impeachment
جاوه	javan
جاوه	java
متعهد	minuteman
متعهد	bound
متعهد	committed
بلیز	belize
مسمومیت	poisoning
مسمومیت	toxicity
مجرد	singles
مجرد	bachelor
مجرد	unmarried
عروقی	vascular
تحکیم	consolidation
سرگئی	sergei
درخشش	shine
درخشش	luminosity
درخشش	glowing
درخشش	glitter
درخشش	glow
اینترنشنال	international
دیترویت	detroit
فرعون	pharaoh
سهره	finch
هارون	harun
صمد	samad
شنوایی	hearing
جواهر	jewels
جواهر	jewel
جواهر	jewelry
هیجان	excitement
هیجان	thrill
هیجان	excited
برانگیز	urge
برانگیز	rouse
پرتره	portrait
تومور	tumor
فضاپیما	spacecraft
فضاپیما	spaceship
کپسول	capsule
بیسبال	baseball
کروموزوم	chromosomes
کروموزوم	chromosome
خستگی	fatigue
خستگی	boredom
خستگی	exhaustion
بسامد	frequency
استعفای	resignation
چاپلین	chaplin
الکتریسیته	electricity
کریک	creek
پنجاب	punjab
غیرممکن	impossible
اشیا	objects
مشت	fists
مشت	punch
مشت	fist
ربع	quarter
سهولت	ease
کنسولگری	consulate
جسیکا	jessica
مجنون	insane
مجنون	majnu
مجنون	mad
کهنوج	kahnuj
ویکیپدیای	wikipedia
بالکان	balkans
بالکان	balkan
باروری	fertility
باروری	gestation
هوافضا	aerospace
عزاداری	mourn
عزاداری	mourning
اضطراب	anxiety
شرلوک	sherlock
نسیم	breeze
نسیم	nasim
نسیم	naseem
اضطراری	emergency
ثور	thur
ثور	thor
نزاکت	propriety
نزاکت	civility
نزاکت	tact
فروهر	essence
باکس	box
اسکوشیا	scotia
میش	ewes
میش	ewe
تعصب	intolerance
تعصب	prejudice
تعصب	dogma
تفنگداران	musketeers
تفنگداران	corps
کرک	kirk
رحیمی	rahimi
درصدی	percentage
سنتز	synthesis
افغانی	afghani
افغانی	afn
افغانی	afghan
نیر	nir
اصولی	systematic
وارده	sustained
سپید	white
واسکو	vasco
متناهی	finite
هدر	heather
طبع	temper
نیکولا	nicola
نیکولا	nikola
دریچه	valve
دریچه	hatch
احساسی	emotional
انجیر	ficus
انجیر	fig
انجیر	anjir
ثالث	tertiary
جوهر	toner
جوهر	ink
پلاستیکی	plastic
پن	penn
پن	pan
تیموری	shahrukh
سس	sauce
تیغ	blade
مولر	müller
مولر	mueller
مولر	muller
اشنویه	oshnavieh
انتقالی	transitional
شادگان	shadegan
مبدا	origin
آذرشهر	azarshahr
رولز	rolls
آرژانتینی	argentinian
آرژانتینی	argentine
کیل	kale
کیل	kiel
وقفه	interrupt
وقفه	interruption
وقفه	intermission
وقفه	interruptions
گواهینامه	license
گواهینامه	certificate
روال	routine
فراموشی	forgetting
آمینه	amino
زامبیا	zambia
تم	tam
تم	theme
فاش	disclose
فاش	reveal
فاش	disclosure
ویروسی	viral
بابلی	babylon
بابلی	babylonian
صداهای	voices
سوسن	lilium
سوسن	susan
رینگ	ring
کفایت	suffice
خطرات	risks
خطرات	dangers
هاردی	hardy
مخالفین	opposition
گوزن	stag
گوزن	moose
گوزن	deer
گوزن	caribou
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	rewards
پاداش	reward
نفرین	curse
لمس	touch
لمس	touching
لمس	touched
سوئیسی	swiss
سویا	soybean
واگذاری	delegate
کارن	karen
مهندسین	engineers
جعفرآباد	jafarabad
قشر	cortex
طاووس	peacock
طاووس	peacocks
اسکلت	chassis
اسکلت	skeleton
اسکلت	skeletons
پدربزرگ	grandpa
پدربزرگ	grandfather
گروپ	group
انحصار	monopoly
منجمد	frozen
فواصل	distances
فواصل	intervals
فلامینگو	flamingo
خدایی	god
سیار	mobile
پادگان	bases
پادگان	garrison
گرمایش	heating
خلاقیت	creativity
خلاقیت	creative
اسپورتینگ	sporting
امریکایی	american
بارون	baron
بارون	rain
بیکر	baker
بروسیا	borussia
گی	gi
گی	gay
مخرب	destructive
تهمت	defamation
تهمت	slander
تهمت	libel
تاسیسات	facility
بلوچ	baloch
آبیلا	ávila
مخازن	repositories
حسگر	sensor
مستعمره	colony
بودا	buda
بودا	buddha
حجازی	hijazi
مکاتب	communicator
صاریغ	possum
صاریغ	opossum
خودگردان	autonomous
محققین	researchers
قسطنطنیه	constantinople
ایمن	safe
ایمن	ayman
ایمن	secure
ایمن	eamon
جفرسون	jefferson
ناخواسته	unintended
ناخواسته	unwanted
کاوشگر	probe
کاوشگر	lander
کاوشگر	explorer
قطعاً	definitely
ویرانی	ruin
ویرانی	destruction
غده	tumor
غده	gland
بروک	brooke
بروک	brook
یزید	yazid
کاله	kalle
کاله	calais
مرمر	marble
مقاصد	intentions
مقاصد	purposes
مقاصد	destinations
زیارتگاه	shrine
گراد	grad
سنتور	centaur
انعقاد	coagulation
توفیق	assistance
رکن	pillar
پاسخگویی	answer
پاسخگویی	response
جنسیتی	gender
گیلبرت	gilbert
پدرو	pedro
تریلر	thriller
تریلر	trailer
چاک	chuck
ضلعی	quadrilateral
خوک	pigs
خوک	pig
بکند	does
بازوی	arm
دوازدهمین	twelfth
مدیاویکی	mediawiki
بیداری	awake
